ticket_id,created_at,requester_department,requester_title,request_type,request_summary,details,mandatory_fields,fields_provided,outcome,security_risk_score,resolution_time_hours,approver_role
1303b596-df38-4de5-9ca3-853e7dffddcc,2024-10-01 09:04:00,Sales,Sales Engineer,Firewall Change,Allow SSH to external IP 176.49.139.83 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 176.49.139.83 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System; Destination IP,Approved,68,40.0,Security Manager
16e45159-acd1-4b3a-aadc-5627de5d1c6a,2024-09-02 21:04:00,Operations,Logistics Coordinator,Network Access,Open port 3306 from 10.204.182.0/24 to RDS cluster rds-acme-dev,"Request to allow MySQL traffic from internal subnet 10.204.182.0/24 to RDS cluster rds-acme-dev.
This is needed for data sync during migration. Approved change window is 02:00–04:00 UTC.",Business Justification; Source CIDR; Approval from Engineering Lead,Business Justification; Source CIDR; Approval from Engineering Lead,Approved,86,29.0,Security Analyst
3795cb75-cb3d-467d-89d2-057fc4605e9c,2025-01-08 04:04:00,Finance,Controller,Data Export,Export 25GB of anonymized data to S3 bucket acme-prod-station,"Request to export anonymized user event data (~25GB) for ML model training.
Data to be exported to secure S3 bucket acme-prod-station. No direct identifiers present.",Business Justification; PII Involved; Data Destination,PII Involved; Data Destination,Info Requested,87,,CISO
2bf61dba-e6ed-4d28-9f8e-9fda1a4502a1,2025-01-17 12:04:00,Marketing,Marketing Manager,DevTool Install,Install VSCode extension 'film',"Requesting installation of extension 'film' from official VSCode marketplace.
Tool will be used by dev team for shared debugging and code review sessions.",Business Justification; Team Lead Approval,Business Justification; Team Lead Approval,Approved,48,21.0,Security Manager
0708252c-7a03-420e-8208-cb6cb06f927a,2025-01-14 11:04:00,Finance,Financial Analyst,DevTool Install,Install VSCode extension 'hold',"Requesting installation of extension 'hold' from official VSCode marketplace.
Tool will be used by dev team for shared debugging and code review sessions.",Business Justification; Team Lead Approval,Business Justification; Team Lead Approval,Approved,63,34.0,Security Manager
4ec59b60-f848-4d54-ad05-a5241b76daa1,2025-03-09 16:04:00,Data Science,ML Engineer,Firewall Change,Allow SSH to external IP 176.189.45.198 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 176.189.45.198 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System; Destination IP,Approved,92,37.0,Security Manager
55ce63be-6184-4726-8a7a-92267fd71ff7,2025-05-15 02:04:00,Engineering,SRE,Firewall Change,Allow SSH to external IP 201.170.15.183 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 201.170.15.183 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System,Info Requested,65,,CISO
fe8e4615-65d8-4a48-9235-ba641d797fb0,2024-07-22 01:04:00,Marketing,Content Strategist,DevTool Install,Install VSCode extension 'approach',"Requesting installation of extension 'approach' from official VSCode marketplace.
Tool will be used by dev team for shared debugging and code review sessions.",Business Justification; Team Lead Approval,Business Justification; Team Lead Approval,Approved,57,47.0,CISO
5e00d478-f421-4953-8a14-b0bef4b10400,2024-05-27 12:04:00,IT,IT Support,Network Access,Open port 3306 from 10.81.202.0/24 to RDS cluster rds-acme-prod,"Request to allow MySQL traffic from internal subnet 10.81.202.0/24 to RDS cluster rds-acme-prod.
This is needed for data sync during migration. Approved change window is 02:00–04:00 UTC.",Business Justification; Source CIDR; Approval from Engineering Lead,Business Justification; Approval from Engineering Lead,Info Requested,70,,CISO
8358ea38-315a-4adc-a5b5-6a0e74ccdccd,2024-11-12 07:04:00,Sales,Account Executive,Vendor Approval,Onboard vendor Brown and Sons for campaign analytics,Brown and Sons provides marketing analytics services. They completed ACME's security questionnaire with a passing score and have a valid SOC 2 Type II report. No PII involved.,Vendor Security Questionnaire; Data Classification; Legal Review,Vendor Security Questionnaire; Data Classification; Legal Review,Approved,68,25.0,CISO
8f64eee0-42b5-4728-8481-a5f6139e3214,2024-11-21 12:04:00,HR,Recruiter,Permission Change,Temporary admin access to AWS for 1 hours,"Requesting AdministratorAccess role for AWS account acme-prod to handle production incident.
Access needed for 1 hours. Related Jira ticket: INFRA-5479.",Business Justification; Duration; Manager Approval,Business Justification; Duration,Info Requested,93,,CISO
d16c093f-eb77-4bd5-ac47-8b48b029091e,2024-11-29 19:04:00,Marketing,SEO Specialist,Cloud Resource Access,ReadOnly access to S3 bucket acme-stage-radio,"Access requested for S3 bucket acme-stage-radio to troubleshoot log ingestion failures.
Data classification: Internal. No customer PII involved.",Business Justification; Data Sensitivity Level,Business Justification,Info Requested,74,,Security Analyst
f851b9b6-64da-4615-bb54-660f77cd1823,2024-10-30 13:04:00,Operations,Operations Manager,Cloud Resource Access,ReadOnly access to S3 bucket acme-dev-dinner,"Access requested for S3 bucket acme-dev-dinner to troubleshoot log ingestion failures.
Data classification: Internal. No customer PII involved.",Business Justification; Data Sensitivity Level,Business Justification; Data Sensitivity Level,Approved,67,12.0,Security Analyst
3c09fa6d-1b45-43f4-9711-6a7b0042833c,2024-08-21 11:04:00,Data Science,ML Engineer,Firewall Change,Allow SSH to external IP 172.32.105.176 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 172.32.105.176 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Source System; Destination IP,Info Requested,75,,Security Analyst
3f9c8381-5604-4dad-bf30-222f20a7adf2,2024-10-16 20:04:00,Engineering,Software Engineer,Network Access,Open port 3306 from 10.131.177.0/24 to RDS cluster rds-acme-prod,"Request to allow MySQL traffic from internal subnet 10.131.177.0/24 to RDS cluster rds-acme-prod.
This is needed for data sync during migration. Approved change window is 02:00–04:00 UTC.",Business Justification; Source CIDR; Approval from Engineering Lead,Source CIDR; Approval from Engineering Lead,Info Requested,89,,Security Analyst
1bca3df0-09c8-48dd-bba8-47f706308dae,2025-01-13 15:04:00,Finance,Controller,Vendor Approval,Onboard vendor Beck-Gardner for campaign analytics,Beck-Gardner provides marketing analytics services. They completed ACME's security questionnaire with a passing score and have a valid SOC 2 Type II report. No PII involved.,Vendor Security Questionnaire; Data Classification; Legal Review,Vendor Security Questionnaire; Data Classification; Legal Review,Approved,46,47.0,CISO
f1b710af-ebb5-41b3-9521-12910dd3ae9f,2025-01-28 18:04:00,Engineering,Frontend Engineer,DevTool Install,Install VSCode extension 'modern',"Requesting installation of extension 'modern' from official VSCode marketplace.
Tool will be used by dev team for shared debugging and code review sessions.",Business Justification; Team Lead Approval,Business Justification; Team Lead Approval,Approved,52,11.0,Security Analyst
904bc530-b6f3-4b96-a610-d55bd9e28353,2024-11-27 19:04:00,IT,IT Support,Firewall Change,Allow SSH to external IP 184.254.82.97 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 184.254.82.97 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System; Destination IP,Approved,73,20.0,Security Manager
2929af16-29f9-48c3-9a51-39533d6653d2,2025-03-19 04:04:00,Sales,Sales Engineer,Permission Change,Temporary admin access to AWS for 6 hours,"Requesting AdministratorAccess role for AWS account acme-prod to handle production incident.
Access needed for 6 hours. Related Jira ticket: INFRA-6152.",Business Justification; Duration; Manager Approval,Duration; Manager Approval,Info Requested,88,,CISO
cdc938a3-09ca-479d-b79d-008d26ad9e8d,2024-10-29 04:04:00,IT,IT Support,Firewall Change,Allow SSH to external IP 117.95.173.23 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 117.95.173.23 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System; Destination IP,Approved,80,23.0,Security Analyst
7769cfc2-3705-48b5-89ab-cf660184d9ef,2025-01-02 22:04:00,IT,IT Support,DevTool Install,Install VSCode extension 'call',"Requesting installation of extension 'call' from official VSCode marketplace.
Tool will be used by dev team for shared debugging and code review sessions.",Business Justification; Team Lead Approval,Business Justification; Team Lead Approval,Approved,34,38.0,Security Manager
f8497bdd-bd77-4189-97ee-f0f3d856e116,2025-02-01 11:04:00,Engineering,SRE,Cloud Resource Access,ReadOnly access to S3 bucket acme-dev-her,"Access requested for S3 bucket acme-dev-her to troubleshoot log ingestion failures.
Data classification: Internal. No customer PII involved.",Business Justification; Data Sensitivity Level,Business Justification; Data Sensitivity Level,Approved,66,31.0,CISO
5ab35dcd-20cc-4c6b-9382-faa71546d4fd,2024-12-03 11:04:00,Data Science,ML Engineer,Firewall Change,Allow SSH to external IP 221.92.126.189 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 221.92.126.189 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Destination IP,Info Requested,72,,CISO
1d9bf546-19f7-4993-8b85-bf2d7c4e0d8f,2025-03-22 15:04:00,Operations,Logistics Coordinator,Vendor Approval,"Onboard vendor Owens, Harmon and White for campaign analytics","Owens, Harmon and White provides marketing analytics services. They completed ACME's security questionnaire with a passing score and have a valid SOC 2 Type II report. No PII involved.",Vendor Security Questionnaire; Data Classification; Legal Review,Data Classification; Legal Review,Info Requested,62,,Security Manager
9f8b8a8c-98f9-454e-8686-ec7683b54219,2024-11-06 12:04:00,IT,IT Support,Vendor Approval,"Onboard vendor Harper, Edwards and Byrd for campaign analytics","Harper, Edwards and Byrd provides marketing analytics services. They completed ACME's security questionnaire with a passing score and have a valid SOC 2 Type II report. No PII involved.",Vendor Security Questionnaire; Data Classification; Legal Review,Vendor Security Questionnaire; Data Classification,Info Requested,40,,Security Manager
199e111c-4e11-4e6c-8f79-030ffd81a811,2024-11-21 08:04:00,Sales,Account Executive,Firewall Change,Allow SSH to external IP 16.210.63.140 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 16.210.63.140 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System; Destination IP,Approved,79,20.0,Security Analyst
68580c9c-4288-4ed9-abc4-56149fa58093,2025-03-24 09:04:00,Marketing,Content Strategist,DevTool Install,Install VSCode extension 'item',"Requesting installation of extension 'item' from official VSCode marketplace.
Tool will be used by dev team for shared debugging and code review sessions.",Business Justification; Team Lead Approval,Business Justification; Team Lead Approval,Approved,70,8.0,Security Manager
3502b3b3-b58b-41d0-989d-7b52c622962a,2024-10-11 10:04:00,Data Science,Data Scientist,DevTool Install,Install VSCode extension 'identify',"Requesting installation of extension 'identify' from official VSCode marketplace.
Tool will be used by dev team for shared debugging and code review sessions.",Business Justification; Team Lead Approval,Business Justification; Team Lead Approval,Approved,47,17.0,Security Analyst
910acc0d-d713-4b5c-9c15-6cc9dace95b5,2025-02-23 04:04:00,IT,IT Support,Data Export,Export 5GB of anonymized data to S3 bucket acme-dev-everybody,"Request to export anonymized user event data (~5GB) for ML model training.
Data to be exported to secure S3 bucket acme-dev-everybody. No direct identifiers present.",Business Justification; PII Involved; Data Destination,PII Involved,Info Requested,70,,Security Manager
4fd88c69-ef6b-4df5-abf6-9366b9f90afc,2024-10-03 06:04:00,Marketing,Marketing Manager,Permission Change,Temporary admin access to AWS for 4 hours,"Requesting AdministratorAccess role for AWS account acme-prod to handle production incident.
Access needed for 4 hours. Related Jira ticket: INFRA-2614.",Business Justification; Duration; Manager Approval,Duration; Manager Approval,Info Requested,84,,Security Analyst
c021a7a1-d40b-4f2f-8ec5-e9f81811e4a9,2024-11-21 03:04:00,Marketing,Content Strategist,Cloud Resource Access,ReadOnly access to S3 bucket acme-prod-set,"Access requested for S3 bucket acme-prod-set to troubleshoot log ingestion failures.
Data classification: Internal. No customer PII involved.",Business Justification; Data Sensitivity Level,Business Justification; Data Sensitivity Level,Approved,71,29.0,Security Analyst
bd6aa004-d87e-4928-bd4e-6872b539d85e,2024-10-26 20:04:00,Engineering,Software Engineer,Vendor Approval,Onboard vendor Underwood LLC for campaign analytics,Underwood LLC provides marketing analytics services. They completed ACME's security questionnaire with a passing score and have a valid SOC 2 Type II report. No PII involved.,Vendor Security Questionnaire; Data Classification; Legal Review,Vendor Security Questionnaire; Data Classification; Legal Review,Approved,44,22.0,CISO
a19ac612-950a-463d-a82f-e3906df69bde,2024-07-24 02:04:00,Sales,Sales Ops Analyst,Data Export,Export 15GB of anonymized data to S3 bucket acme-dev-imagine,"Request to export anonymized user event data (~15GB) for ML model training.
Data to be exported to secure S3 bucket acme-dev-imagine. No direct identifiers present.",Business Justification; PII Involved; Data Destination,Business Justification; PII Involved,Info Requested,65,,Security Manager
5efc8a2c-51e5-4bb7-9b0d-e8358ad2a651,2025-04-22 18:04:00,Engineering,SRE,Vendor Approval,"Onboard vendor Butler, Tucker and Taylor for campaign analytics","Butler, Tucker and Taylor provides marketing analytics services. They completed ACME's security questionnaire with a passing score and have a valid SOC 2 Type II report. No PII involved.",Vendor Security Questionnaire; Data Classification; Legal Review,Vendor Security Questionnaire; Data Classification; Legal Review,Approved,77,14.0,Security Analyst
dbde82ad-349b-456d-b25d-f67a14ddb8e9,2024-12-04 23:04:00,IT,System Administrator,Vendor Approval,Onboard vendor Underwood-Bradford for campaign analytics,Underwood-Bradford provides marketing analytics services. They completed ACME's security questionnaire with a passing score and have a valid SOC 2 Type II report. No PII involved.,Vendor Security Questionnaire; Data Classification; Legal Review,Data Classification; Legal Review,Info Requested,57,,Security Analyst
cd869816-45f0-46af-92d8-368525f92da4,2024-08-08 10:04:00,Sales,Sales Engineer,Network Access,Open port 3306 from 10.86.126.0/24 to RDS cluster rds-acme-prod,"Request to allow MySQL traffic from internal subnet 10.86.126.0/24 to RDS cluster rds-acme-prod.
This is needed for data sync during migration. Approved change window is 02:00–04:00 UTC.",Business Justification; Source CIDR; Approval from Engineering Lead,Business Justification; Source CIDR,Info Requested,66,,Security Manager
d55b06dd-7b4e-4e1e-9776-ea86fdb47992,2025-01-20 18:04:00,Finance,Controller,Firewall Change,Allow SSH to external IP 212.101.14.135 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 212.101.14.135 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Source System; Destination IP,Info Requested,65,,Security Manager
c1e684bb-cbf9-4d6f-849d-6d1702971607,2024-08-01 10:04:00,IT,System Administrator,Cloud Resource Access,ReadOnly access to S3 bucket acme-dev-thus,"Access requested for S3 bucket acme-dev-thus to troubleshoot log ingestion failures.
Data classification: Internal. No customer PII involved.",Business Justification; Data Sensitivity Level,Business Justification; Data Sensitivity Level,Approved,50,17.0,CISO
a590887d-cd7a-407f-95d6-bbef942c1c52,2024-09-05 17:04:00,Marketing,Content Strategist,Cloud Resource Access,ReadOnly access to S3 bucket acme-prod-realize,"Access requested for S3 bucket acme-prod-realize to troubleshoot log ingestion failures.
Data classification: Internal. No customer PII involved.",Business Justification; Data Sensitivity Level,Business Justification; Data Sensitivity Level,Approved,77,45.0,Security Manager
e76d9b28-6fd6-4509-b6f7-6435e0de2c55,2025-02-11 17:04:00,Finance,Financial Analyst,Firewall Change,Allow SSH to external IP 32.115.85.22 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 32.115.85.22 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Destination IP,Info Requested,79,,Security Analyst
680bb69e-791d-4d52-8b0f-5e7e7528193c,2025-04-19 14:04:00,IT,IT Support,Data Export,Export 25GB of anonymized data to S3 bucket acme-prod-another,"Request to export anonymized user event data (~25GB) for ML model training.
Data to be exported to secure S3 bucket acme-prod-another. No direct identifiers present.",Business Justification; PII Involved; Data Destination,Business Justification; PII Involved; Data Destination,Approved,56,11.0,Security Manager
fbcde7b6-4448-429c-8752-63c810b74009,2024-05-28 09:04:00,Engineering,SRE,Cloud Resource Access,ReadOnly access to S3 bucket acme-dev-operation,"Access requested for S3 bucket acme-dev-operation to troubleshoot log ingestion failures.
Data classification: Internal. No customer PII involved.",Business Justification; Data Sensitivity Level,Business Justification,Info Requested,62,,Security Analyst
cd51beef-8b5c-4d3d-bb8b-5023830de915,2025-02-16 09:04:00,Data Science,ML Engineer,Vendor Approval,Onboard vendor Turner Inc for campaign analytics,Turner Inc provides marketing analytics services. They completed ACME's security questionnaire with a passing score and have a valid SOC 2 Type II report. No PII involved.,Vendor Security Questionnaire; Data Classification; Legal Review,Vendor Security Questionnaire; Data Classification,Info Requested,69,,Security Manager
e4707417-1d18-409f-9b57-f4e44a37ef59,2024-08-14 19:04:00,Operations,Operations Manager,Data Export,Export 47GB of anonymized data to S3 bucket acme-dev-administration,"Request to export anonymized user event data (~47GB) for ML model training.
Data to be exported to secure S3 bucket acme-dev-administration. No direct identifiers present.",Business Justification; PII Involved; Data Destination,Business Justification; PII Involved; Data Destination,Approved,81,42.0,Security Analyst
5b23b2e8-e8b2-43db-abd8-84b1f4f5ff10,2024-10-18 18:04:00,Finance,Financial Analyst,Firewall Change,Allow SSH to external IP 184.23.185.239 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 184.23.185.239 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System; Destination IP,Approved,68,43.0,Security Analyst
3cc46345-9920-4e2a-a489-884c98bbdf55,2025-01-16 10:04:00,Data Science,ML Engineer,Vendor Approval,"Onboard vendor Estrada, Smith and Phillips for campaign analytics","Estrada, Smith and Phillips provides marketing analytics services. They completed ACME's security questionnaire with a passing score and have a valid SOC 2 Type II report. No PII involved.",Vendor Security Questionnaire; Data Classification; Legal Review,Data Classification; Legal Review,Info Requested,61,,Security Manager
863f06ba-c27b-41e9-91d9-082d523eacef,2024-11-14 20:04:00,Data Science,ML Engineer,Firewall Change,Allow SSH to external IP 204.24.203.190 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 204.24.203.190 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System; Destination IP,Approved,68,18.0,Security Analyst
07ce05cd-8df0-455e-8d5f-c042f248ef3a,2024-08-05 07:04:00,Operations,Program Manager,Cloud Resource Access,ReadOnly access to S3 bucket acme-stage-by,"Access requested for S3 bucket acme-stage-by to troubleshoot log ingestion failures.
Data classification: Internal. No customer PII involved.",Business Justification; Data Sensitivity Level,Business Justification; Data Sensitivity Level,Approved,62,43.0,Security Analyst
357ccced-5a19-4ced-a740-8fdb21da02ca,2024-12-09 04:04:00,Finance,Financial Analyst,Firewall Change,Allow SSH to external IP 180.19.73.253 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 180.19.73.253 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System; Destination IP,Approved,74,32.0,Security Manager
e6bd2c55-b8c9-431a-9cc3-4e3e3784f06a,2024-12-14 06:04:00,Sales,Sales Engineer,Cloud Resource Access,ReadOnly access to S3 bucket acme-prod-public,"Access requested for S3 bucket acme-prod-public to troubleshoot log ingestion failures.
Data classification: Internal. No customer PII involved.",Business Justification; Data Sensitivity Level,Business Justification; Data Sensitivity Level,Approved,76,43.0,CISO
ccd4561e-143d-42aa-a4f2-a875c7678e69,2024-06-10 09:04:00,Sales,Sales Engineer,Firewall Change,Allow SSH to external IP 31.4.85.216 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 31.4.85.216 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Business Justification; Source System; Destination IP,Approved,82,40.0,CISO
ffdf2a14-b166-4bed-8e0c-11789a3fb09f,2024-08-09 17:04:00,HR,Recruiter,Firewall Change,Allow SSH to external IP 51.26.227.151 on port 22,"Requesting temporary firewall rule to allow outbound SSH from bastion to vendor IP 51.26.227.151 on port 22.
This is for scheduled support session during the upcoming patch window.",Business Justification; Source System; Destination IP,Source System; Destination IP,Info Requested,76,,CISO
9fef9c2d-2ba3-4c36-8078-36240354842b,2025-01-15 11:04:00,Finance,Controller,Network Access,Open port 3306 from 10.88.177.0/24 to RDS cluster rds-acme-dev,"Request to allow MySQL traffic from internal subnet 10.88.177.0/24 to RDS cluster rds-acme-dev.
This is needed for data sync during migration. Approved change window is 02:00–04:00 UTC.",Business Justification; Source CIDR; Approval from Engineering Lead,Source CIDR,Info Requested,62,,CISO
bea20629-0baa-4f7e-991c-dd2c04f192df,2025-02-26 20:04:00,Data Science,ML Engineer,Network Access,Open port 3306 from 10.12.160.0/24 to RDS cluster rds-acme-prod,"Request to allow MySQL traffic from internal subnet 10.12.160.0/24 to RDS cluster rds-acme-prod.
This is needed for data sync during migration. Approved change window is 02:00–04:00 UTC.",Business Justification; Source CIDR; Approval from Engineering Lead,Source CIDR; Approval from Engineering Lead,Info Requested,86,,CISO
ba8a537b-4180-4cdb-b0cd-0e13238b2a0e,2025-05-23 07:04:00,IT,System Administrator,Data Export,Export 26GB of anonymized data to S3 bucket acme-dev-build,"Request to export anonymized user event data (~26GB) for ML model training.
Data to be exported to secure S3 bucket acme-dev-build. No direct identifiers present.",Business Justification; PII Involved; Data Destination,Business Justification; PII Involved; Data Destination,Approved,68,9.0,Security Analyst
d67af7a9-d328-4405-93e2-5e011a1f05f0,2024-10-30 18:04:00,Finance,Controller,Permission Change,Temporary admin access to AWS for 7 hours,"Requesting AdministratorAccess role for AWS account acme-prod to handle production incident.
Access needed for 7 hours. Related Jira ticket: INFRA-2494.",Business Justification; Duration; Manager Approval,Business Justification; Duration; Manager Approval,Approved,86,40.0,Security Manager
b3094016-7cc8-42a0-8fea-4e786e3d4da9,2025-04-26 19:04:00,Marketing,Marketing Manager,Cloud Resource Access,ReadOnly access to S3 bucket acme-stage-land,"Access requested for S3 bucket acme-stage-land to troubleshoot log ingestion failures.
Data classification: Internal. No customer PII involved.",Business Justification; Data Sensitivity Level,Business Justification; Data Sensitivity Level,Approved,77,46.0,CISO
9a55fb83-0f72-468e-a11f-95aec7206873,2025-01-02 02:04:00,IT,IT Specialist,Vendor Approval,"Onboard vendor Cummings, Decker and Williams for campaign analytics","Cummings, Decker and Williams provides marketing analytics services. They completed ACME's security questionnaire with a passing score and have a valid SOC 2 Type II report. No PII involved.",Vendor Security Questionnaire; Data Classification; Legal Review,Vendor Security Questionnaire; Data Classification; Legal Review,Approved,78,44.0,Security Analyst
c7c27255-3c5d-40a4-a960-a413752ecc44,2024-09-06 08:04:00,Engineering,Software Engineer,Cloud Resource Access,ReadOnly access to S3 bucket acme-stage-these,"Access requested for S3 bucket acme-stage-these to troubleshoot log ingestion failures.
Data classification: Internal. No customer PII involved.",Business Justification; Data Sensitivity Level,Business Justification,Info Requested,82,,CISO
390dc7c2-2809-4112-ab1f-fa0db11c7c72,2025-04-12 03:04:00,HR,Recruiter,Permission Change,Temporary admin access to AWS for 7 hours,"Requesting AdministratorAccess role for AWS account acme-prod to handle production incident.
Access needed for 7 hours. Related Jira ticket: INFRA-3005.",Business Justification; Duration; Manager Approval,Business Justification; Duration; Manager Approval,Approved,92,23.0,Security Manager
